,Winner,# Comebacks
0,0,0
1,Algeria,0
2,Argentina,0
3,Australia,1
4,Austria,1
5,Belgium,1
6,Brazil,6
7,Bulgaria,0
8,Cameroon,0
9,Chile,0
10,Colombia,0
11,Costa Rica,2
12,Croatia,0
13,Cuba,1
14,Czech Republic,0
15,Czechoslovakia,1
16,Cï¿½te d'Ivoire,2
17,Denmark,0
18,Ecuador,0
19,England,0
20,France,0
21,German DR,0
22,Germany,1
23,Germany FR,2
24,Ghana,0
25,Greece,0
26,Hungary,0
27,Iran,0
28,Italy,0
29,Jamaica,0
30,Japan,0
31,Korea DPR,0
32,Korea Republic,1
33,Mexico,1
34,Morocco,0
35,Netherlands,3
36,Nigeria,0
37,Northern Ireland,0
38,Norway,0
39,Paraguay,1
40,Peru,1
41,Poland,0
42,Portugal,1
43,Romania,1
44,Russia,0
45,Saudi Arabia,0
46,Scotland,0
47,Senegal,0
48,Serbia,0
49,Slovakia,0
50,Slovenia,0
51,South Africa,0
52,Soviet Union,0
53,Spain,4
54,Sweden,0
55,Switzerland,2
56,Tie,52
57,Tunisia,1
58,Turkey,0
59,USA,0
60,Ukraine,0
61,Uruguay,3
62,Wales,1
63,Yugoslavia,0
64,"rn"">Bosnia and Herzegovina",0
65,"rn"">Republic of Ireland",0
